Manual_Intervention,Building_number,Building_Code,Short_building_name,Bldg_Description
1,4363,LWB,LOWELL P. WEICKER Jr. BUILDING,LOWELL P. WEICKER Jr. BUILDING
1,7023,PRIV,UCONN PRIVACY,MANSFIELD 28 PROFESSIONAL PARK BUILDING
1,7304,SSON,SCHOOL OF NURSING AT STAMFORD HOSPITAL,SCHOOL OF NURSING AT STAMFORD HOSPITAL
1,7323,HPL,HARTFORD PUBLIC LIBRARY,HARTFORD PUBLIC LIBRARY
1,7324,GBLC,GBLC HARTFORD,GBLC HARTFORD
1,7333,RIC,RESEARCH INNOVATION,229 TRUMBULL STREET
1,0421B,ATL,ADVANCED TECH LAB,ADVANCED TECHNOLOGY LABORATORY
1,0324, WHTN,Whetten,Whetten
1,0428, ROME, ROME
1,0508, REC Ctr, Recreational Center
1,1103, HRSBRN, Horse Barn
1,3318, LSMAC, Law School Mackenzie
