Term_Code,Subject_Code,Division,Catalog_Number,Section,Component_Code,Class_NBR,CLASS_DESCR,Day10_Enroll,class_duration_weekly,Enrl_Cap,Instruction_Mode,TL_Building,TL_Room,SA Facility ID,SA Building Code,SA Building Description,SA Building Short Description,SA Facility Room Number,SA Facility Description,SA Facility Short Description,SA Facility Location,SA Facility Academic Organization,SA Facility Type,SA Facility Capacity,Class_Start_Time,Class_End_Time,Class_Days,AGNROther,Accounting,AfricanaStudiesIns,AgriculturalResour,AlliedHealthScienc,AnimalScience,Anthropology,ArtArtHistory,BUSNOther,BiologicalSciences,BiomedicalEngineer,CenterforExcellenc,ChemicalBiomolecul,Chemistry,CivilEnvironmental,CognitiveScience,Communication,Computing,CurriculumInstruct,DigitalMediaDesign,DramaticArts,ENGROther,EarthSciences,EcologyEvolutionar,Economics,EducationalLeaders,EducationalPsychol,ElectricalComputer,EngineeringPhysics,English,Exploratory,Finance,GeographySustainab,History,HumanDevelopmentFa,HumanRights,Individualized,InstituteforSystem,Interdisciplinary,InternationalStudi,Journalism,Kinesiology,LatinoLatinAmerica,Law,Linguistics,LiteraturesCulture,Management,MarineSciences,MaritimeStudies,Marketing,MaterialsScienceEn,Mathematics,MechanicalAerospac,MolecularCellBiolo,Music,NaturalResourcesth,NonDegree,Nursing,NutritionalScience,OfficeofEnrichment,OperationsInformat,PathobiologyVeteri,PharmaceuticalScie,PharmacyPractice,Philosophy,Physics,PhysiologyNeurobio,PlantScienceLandsc,PoliticalScience,PolymerSciencePhD,PreBachelorofSocia,PreIndividualized,PrePharmacy,PreSportManagement,PreTeaching,PsychologicalScien,PublicPolicy,RoboticsEngineerin,SocialCriticalInqu,SocialWork,Sociology,SpeechLanguageHear,StatisticalDataSci,Statistics,UConnHealthOther,Sum_Enrollment
1248,ACCT,LD,2001,801,LSA,9729,Prin. of Financial Accounting,50,2:30,50,P,SWB,B,300500002,3005,UConn Stamford Residence Hall,SWB,B,SWB B,SWB B,STAMFORD,,CSRM,70,12:30:00 PM,01:45:00 PM,NNYNYNN,,,,,,1,,,3,,1,,,,,,,3,,,,,,,9,,,,,1,19,3,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,1,,,,,1,,3,,,,,,,1,,,50
1248,ACCT,LD,2001,802,LSA,9730,Prin. of Financial Accounting,50,2:30,50,P,SWB,B,300500002,3005,UConn Stamford Residence Hall,SWB,B,SWB B,SWB B,STAMFORD,,CSRM,70,02:00:00 PM,03:15:00 PM,NNYNYNN,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,24,6,,,1,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,1,,,,,,,,1,,,1,,4,,,,,1,,,,,50
1248,ACCT,LD,2101,001,LSA,9731,Prin. of Managerial Accounting,38,2:30,35,P,BUSN,218,041400011,0414,School of Business,BUSN,218,BUSN 218,BUSN 218,STORRS,,CSRM,43,09:30:00 AM,10:45:00 AM,NYNYNNN,,7,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,13,,,,,,,,,,,,,,,7,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
1248,ACCT,LD,2101,002,LSA,9732,Prin. of Managerial Accounting,36,2:30,35,P,BUSN,226,041400012,0414,School of Business,BUSN,226,BUSN 226,BUSN 226,STORRS,,CSRM,42,12:30:00 PM,01:45:00 PM,NYNYNNN,,3,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,10,,,,,,,,,,,,,,,4,,,9,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,36
1248,ACCT,LD,2101,003,LSA,9733,Prin. of Managerial Accounting,37,2:30,35,P,BUSN,122,041400003,0414,School of Business,BUSN,122,BUSN 122,BUSN 122,STORRS,,CSRM,44,12:30:00 PM,01:45:00 PM,NNYNYNN,,4,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,1,2,7,,,,,,,,,,,,,,,3,,,7,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,37
1248,ACCT,LD,2101,004,LSA,9734,Prin. of Managerial Accounting,39,2:30,35,P,BUSN,227,041400013,0414,School of Business,BUSN,227,BUSN 227,BUSN 227,STORRS,,CSRM,43,02:00:00 PM,03:15:00 PM,NYNYNNN,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,17,,,,,,,,,,,,,,,5,,,8,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,39
1248,ACCT,LD,2101,005,LSA,9735,Prin. of Managerial Accounting,25,2:30,20,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,05:00:00 PM,06:15:00 PM,NYNYNNN,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,6,,,4,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,25
1248,ACCT,LD,2101,006,LSA,9736,Prin. of Managerial Accounting,39,2:30,35,P,BUSN,112,041400002,0414,School of Business,BUSN,112,BUSN 112,BUSN 112,STORRS,,CSRM,44,09:30:00 AM,10:45:00 AM,NNYNYNN,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,13,,,,,,,,,,,,,,,8,,,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,39
1248,ACCT,LD,2101,007,LSA,9737,Prin. of Managerial Accounting,39,2:30,35,P,BUSN,112,041400002,0414,School of Business,BUSN,112,BUSN 112,BUSN 112,STORRS,,CSRM,44,03:30:00 PM,04:45:00 PM,NYNYNNN,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,18,,,,,,,,,,,,,,,3,,,13,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,39
1248,ACCT,LD,2101,802,LSA,9743,Prin. of Managerial Accounting,23,2:30,25,P,DWTN,134,300400010,3004,Downtown Stamford,DWTN,134,DWTN 134,DWTN 134,STAMFORD,,CSRM,42,11:15:00 AM,12:30:00 PM,NYNYNNN,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,23
1248,ACCT,UD,3005,001,LSA,9795,Introduction to a Profession,141,2:00,200,P,SHH,101,048600001,0486,Susan V. Herbst Hall,SHH,101,SHH 101,SHH 101,STORRS,,CSRM,200,07:00:00 PM,09:00:00 PM,NNNYNNN,,122,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,5,4,,,,,,,,,,,,,,2,2,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,141
1248,ACCT,UD,3201,001,LSA,9761,Intermediate Accounting I,26,2:30,35,P,BUSN,215,041400010,0414,School of Business,BUSN,215,BUSN 215,BUSN 215,STORRS,,CSRM,43,09:30:00 AM,10:45:00 AM,NNYNYNN,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,26
