Subject_Code,Subject_Course,CLASS_DESCR,building,building_code,Room,Term_Code,TERM,Catalog_Number,Section,class_duration_weekly,Duration_minutes,Division,Component_Code,Class_NBR,Day10_Enroll,WSCH_Max,Enrl_Cap,Capacity,Room_Description,ACES,AGNROther,AcademicServices,Accounting,AfricanaStudiesIns,AgriculturalResour,AlliedHealthScienc,AmericanStudies,AnimalScience,Anthropology,ArtArtHistory,BUSNOther,BiologicalSciences,BiomedicalEngineer,CenterforExcellenc,ChemicalBiomolecul,Chemistry,CivilEnvironmental,CognitiveScience,Communication,ComputerScienceEng,Computing,CurriculumInstruct,DigitalMediaDesign,DramaticArts,ENGROther,EarthSciences,EcologyEvolutionar,Economics,EducationalLeaders,EducationalPsychol,ElectricalComputer,EngineeringPhysics,English,EnvironmentalStudi,Exploratory,Finance,Geography,GlobalAffairs,History,HumanDevelopmentFa,Individualized,Interdisciplinary,Journalism,Kinesiology,LatinoLatinAmerica,Linguistics,LiteraturesCulture,Management,MarineSciences,Marketing,MaterialsScienceEn,Mathematics,MechanicalEngineer,MechanicalAerospac,MolecularCellBiolo,Music,NaturalResourcesth,No_Department,NonDegree,Nursing,NutritionalScience,OfficeofEnrichment,OperationsInformat,PathobiologyVeteri,PharmaceuticalScie,PharmacyPractice,Philosophy,Physics,PhysiologyNeurobio,PlantScienceLandsc,PoliticalScience,PolymerSciencePhD,PreBachelorofSocia,PreIndividualized,PrePharmacy,PreSportManagement,PreTeaching,PsychologicalScien,RoboticsEngineerin,SocialWork,Sociology,SpeechLanguageHear,Statistics,UConnHealthOther,UrbanCommunityStud,WomenGenderSexuali,Sum_Enrollment,Bldg_Description
MUSI,MUSI_1251,Intro to Diction for Singers,234,MUSB,108,1238,Fall 2023,1251,1,1:40,100,LD,LAB,3676,4,117,12,70,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1110,Band,234,MUSB,108,1238,Fall 2023,1110,1,1:00,60,LD,LAB,3633,38,70,45,70,Class Laboratory,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,38,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1119,Opera Workshop,234,MUSB,108,1238,Fall 2023,1119,1,1:40,100,LD,LAB,3642,7,117,20,70,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1111,Chorus,234,MUSB,108,1238,Fall 2023,1111,1,3:00,180,LD,LAB,3635,16,210,30,70,Class Laboratory,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,16,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1111,Chorus,234,MUSB,108,1238,Fall 2023,1111,3,3:00,180,LD,LAB,5768,15,210,20,70,Class Laboratory,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_5305,Graduate Performing Ensemble,234,MUSB,108,1238,Fall 2023,5305,2,1:00,60,GD,LAB,3700,2,70,6,70,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1311,"Ear Training, Musicianship I",234,MUSB,108,1238,Fall 2023,1311,1,1:40,100,LD,LAB,4691,25,117,25,70,Class Laboratory,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,25,MUSIC BUILDING (W/ORCH. BAND)
ART,ART_4130,Graph Design: Design Cent Stud,365,ARTB,108,1238,Fall 2023,4130,1,5:30,330,UD,LAB,14030,10,275,12,50,Class Laboratory,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,SCHOOL OF FINE ARTS - ART
ART,ART_3120,Graph Design 3: Relational Des,365,ARTB,108,1238,Fall 2023,3120,1,5:30,330,UD,LAB,14018,14,275,16,50,Class Laboratory,,1,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,SCHOOL OF FINE ARTS - ART
MUSI,MUSI_1241,Applied Accompanying,234,MUSB,109,1238,Fall 2023,1241,1,0:50,50,LD,LAB,10339,5,58,10,70,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,5,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1601,Intro to Jazz Improvisation,234,MUSB,109,1238,Fall 2023,1601,1,1:40,100,LD,LAB,6510,9,117,15,70,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,8,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1222,Applied Music,234,MUSB,109,1238,Fall 2023,1222,18,0:50,50,LD,LAB,3663,3,58,5,70,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1115,Jazz Ensembles,234,MUSB,109,1238,Fall 2023,1115,2,4:00,240,LD,LAB,9551,16,280,10,70,Class Laboratory,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,16,MUSIC BUILDING (W/ORCH. BAND)
ART,ART_1010,Foundation: Studio Concepts,365,ARTB,109,1238,Fall 2023,1010,1,5:30,330,LD,LAB,2916,20,110,18,20,Class Laboratory,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,20,SCHOOL OF FINE ARTS - ART
ART,ART_1030,Drawing I,365,ARTB,111,1238,Fall 2023,1030,3,5:30,330,LD,LAB,4802,19,110,18,20,Class Laboratory,,,,,,,,,,,12,,1,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,SCHOOL OF FINE ARTS - ART
ART,ART_1040,Drawing II,365,ARTB,111,1238,Fall 2023,1040,2,5:30,330,LD,LAB,10448,13,110,15,20,Class Laboratory,,,,,,,,,,,6,,,,,,,,,,,,,2,,,,1,1,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,SCHOOL OF FINE ARTS - ART
ART,ART_1030,Drawing I,365,ARTB,111,1238,Fall 2023,1030,4,5:30,330,LD,LAB,7435,18,110,18,20,Class Laboratory,,,,,,,,,,,12,,,,,,,,,,1,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,18,SCHOOL OF FINE ARTS - ART
ART,ART_1030,Drawing I,365,ARTB,111,1238,Fall 2023,1030,1,5:30,330,LD,LAB,2920,19,110,18,20,Class Laboratory,,,,,,,,,,,12,,,,,,,,,,1,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,19,SCHOOL OF FINE ARTS - ART
ART,ART_1030,Drawing I,365,ARTB,112,1238,Fall 2023,1030,2,5:30,330,LD,LAB,4675,18,83,18,15,Class Laboratory,,1,,,,,,,,,11,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,SCHOOL OF FINE ARTS - ART
ART,ART_2010,Life Drawing I,365,ARTB,112,1238,Fall 2023,2010,1,5:30,330,LD,LAB,2921,12,83,15,15,Class Laboratory,,,,,,,,,,,9,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,SCHOOL OF FINE ARTS - ART
ART,ART_3310,Intermediate Painting,365,ARTB,113,1238,Fall 2023,3310,1,5:30,330,UD,LAB,6788,14,83,14,15,Class Laboratory,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14,SCHOOL OF FINE ARTS - ART
ART,ART_2310,"Basic Studio, Painting",365,ARTB,113,1238,Fall 2023,2310,1,5:30,330,LD,LAB,2926,14,83,15,15,Class Laboratory,,,,,,,1,,,,9,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,SCHOOL OF FINE ARTS - ART
ART,ART_2310,"Basic Studio, Painting",365,ARTB,113,1238,Fall 2023,2310,2,5:30,330,LD,LAB,6296,13,83,15,15,Class Laboratory,,,,,,,,,,1,10,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,SCHOOL OF FINE ARTS - ART
ART,ART_3330,Advanced Painting,365,ARTB,115,1238,Fall 2023,3330,1,5:30,330,UD,LAB,6787,7,110,8,20,Class Laboratory,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,SCHOOL OF FINE ARTS - ART
ART,ART_1010,Foundation: Studio Concepts,365,ARTB,116,1238,Fall 2023,1010,2,5:30,330,LD,LAB,2917,20,83,18,15,Class Laboratory,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,SCHOOL OF FINE ARTS - ART
ART,ART_3350,Aqua Media I,365,ARTB,116,1238,Fall 2023,3350,1,5:30,330,UD,LAB,8618,5,83,15,15,Class Laboratory,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,SCHOOL OF FINE ARTS - ART
ART,ART_2610,"Basic Studio, Sculpture",365,ARTB,117,1238,Fall 2023,2610,3,5:30,330,LD,LAB,8617,8,77,8,14,Class Laboratory,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,SCHOOL OF FINE ARTS - ART
ART,ART_2610,"Basic Studio, Sculpture",365,ARTB,117,1238,Fall 2023,2610,2,5:30,330,LD,LAB,2925,8,77,8,14,Class Laboratory,,,,,,,,,,,6,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,SCHOOL OF FINE ARTS - ART
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,013L,3:00,180,LD,LAB,7022,24,72,24,24,Class Laboratory,,1,,,,,1,,3,,,,2,,,,,,,,1,,,1,,,1,,,,,,,,,4,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,1,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,034L,3:00,180,LD,LAB,12372,24,72,24,24,Class Laboratory,,,,,,,2,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,9,,,,4,,,,,,,,,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,003L,3:00,180,LD,LAB,7012,24,72,24,24,Class Laboratory,,,,,,,1,,2,,,,2,,,,,,,,2,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,1,,,1,3,,1,,,,,,,1,,,1,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,042L,3:00,180,LD,LAB,6469,19,72,24,24,Class Laboratory,,1,,,,,2,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,2,,1,,,1,,,,2,,,,,,,,,19,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,041L,3:00,180,LD,LAB,6468,22,72,24,24,Class Laboratory,,,,,,,1,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,6,,,,,,,,,3,,,,1,,,,,22,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,006L,3:00,180,LD,LAB,7015,22,72,24,24,Class Laboratory,,,,,,,,,6,,,,6,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,2,,,,,,,1,,1,,,,,,,,,22,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,015L,3:00,180,LD,LAB,12371,24,72,24,24,Class Laboratory,,,,,,,2,,,,,,3,1,,,1,,,,1,,,,,,,,,,,,,,,7,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,1,,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,007L,3:00,180,LD,LAB,7016,23,72,24,24,Class Laboratory,,,,,,,,,3,,,,5,1,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,2,,,3,,,,,,1,,,,,,,,3,,,,,,,,,1,,,,,,,,,23,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,040L,3:00,180,LD,LAB,6467,24,72,24,24,Class Laboratory,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,8,,,,,,,,,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,002L,3:00,180,LD,LAB,7011,24,72,24,24,Class Laboratory,,,,,,,,,8,,,,6,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,1,,,,,,,,,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,118,1238,Fall 2023,1107,001L,3:00,180,LD,LAB,7009,24,72,24,24,Class Laboratory,,,,,,,1,,6,,,,5,,,,2,,,,,,,1,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,022L,3:00,180,LD,LAB,4281,24,72,24,24,Class Laboratory,,,,,,,4,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,1,,,6,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,008L,3:00,180,LD,LAB,7017,23,72,24,24,Class Laboratory,,,,,,,1,,,,,,3,,,,,,,,2,,,,,,,,1,,,,,,,5,1,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,1,,,,4,,,,,,,,,1,,,,,,,,,23,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,009L,3:00,180,LD,LAB,7018,21,72,24,24,Class Laboratory,,1,,,,,5,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,2,,,,3,,,,,,,,,1,,,1,,,,,,21,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,020L,3:00,180,LD,LAB,4279,24,72,24,24,Class Laboratory,,,,,,,4,,4,,,,2,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,2,,,,,,,,,2,,,,1,1,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,005L,3:00,180,LD,LAB,7014,22,72,24,24,Class Laboratory,,,,,,,,,1,,1,,3,,,,,,,,1,,,,1,,,,,,,,,1,,2,,,,,,,,1,1,,,,,1,,,,,,2,,,,,,,,,,2,,,1,3,,,,,,,,,,,,,,1,,,,22,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,023L,3:00,180,LD,LAB,4313,24,72,24,24,Class Laboratory,,,,,,,3,,6,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,1,,,,1,,,,,6,,,,,,,,,,,,,1,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,012L,3:00,180,LD,LAB,7021,22,72,24,24,Class Laboratory,,,,,,,3,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,1,,,,,,,,,22,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,014L,3:00,180,LD,LAB,7023,24,72,24,24,Class Laboratory,,,,,,,3,,,,,,4,1,,,,,1,,2,,,,1,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,,2,,,,1,,,,,,,,,,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,010L,3:00,180,LD,LAB,7019,23,72,24,24,Class Laboratory,,,,,,,5,,3,,,,6,1,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,23,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,024L,3:00,180,LD,LAB,4314,24,72,24,24,Class Laboratory,,,,,,,3,,2,,,,6,1,,,1,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,3,,,,,,,,,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,119,1238,Fall 2023,1107,021L,3:00,180,LD,LAB,4280,24,72,24,24,Class Laboratory,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2,,,,,,,,3,1,,,,,,,,2,,,,1,,,,,,,1,,,,,2,1,,,,1,,,,4,,1,,,,,,,,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
ART,ART_2610,"Basic Studio, Sculpture",365,ARTB,119,1238,Fall 2023,2610,1,5:30,330,LD,LAB,2924,10,77,10,14,Class Laboratory,,,,,,,,,1,,6,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,SCHOOL OF FINE ARTS - ART
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,035L,3:00,180,LD,LAB,14046,24,72,24,24,Class Laboratory,,,,,,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,6,,,1,4,,,,,,,,,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,033L,3:00,180,LD,LAB,5880,24,72,24,24,Class Laboratory,,,,,,,,,3,,,,3,,,,,,1,,1,,,,,,,,,,,,,,1,3,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,4,,,,5,,,,,,,,,,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,027L,3:00,180,LD,LAB,4642,24,72,24,24,Class Laboratory,,,,,,,3,,,,,,3,,,,2,,,1,2,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,1,,,,,1,,,,2,2,,,,2,,,,,,,,,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,011L,3:00,180,LD,LAB,7020,23,72,24,24,Class Laboratory,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,4,,,,,,,,,,,2,,,,,,1,,,,1,,,,6,,,,,,,,,1,,,,,,,,,23,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,028L,3:00,180,LD,LAB,5003,24,72,24,24,Class Laboratory,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,11,,,,4,,,,,,,,,,,,,,1,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,030L,3:00,180,LD,LAB,5611,24,72,24,24,Class Laboratory,,,,,,,,,5,,,,5,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,,,,5,,,,,,,,,1,,,,1,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,031L,3:00,180,LD,LAB,5827,24,72,24,24,Class Laboratory,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,3,1,,,1,9,,,,2,,,,,,,,,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,036L,3:00,180,LD,LAB,14047,23,72,24,24,Class Laboratory,,,,,,,1,,7,,,,3,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,2,,,,,,,,,23,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,029L,3:00,180,LD,LAB,5610,24,72,24,24,Class Laboratory,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,2,,,,,,,,1,,,,,,,,,1,,,,5,,,,4,,,,,,,,,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,004L,3:00,180,LD,LAB,7013,23,72,24,24,Class Laboratory,,,,,,,,,4,,,,3,2,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,23,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,032L,3:00,180,LD,LAB,5832,24,72,24,24,Class Laboratory,,,,,,,1,,4,,,,1,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,,,,3,,,,4,,,,,,,,,1,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
BIOL,BIOL_1107,Principles of Biology I,318,BRON,120,1238,Fall 2023,1107,026L,3:00,180,LD,LAB,4579,24,72,24,24,Class Laboratory,,,,,,,1,,5,,,,4,1,,,,1,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,24,BRONWELL BUILDING (ARTHUR B.)
ERTH,ERTH_3030,Earth Structure,38,BCH,128,1238,Fall 2023,3030,001L,3:00,180,UD,LAB,3509,9,60,16,20,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
ERTH,ERTH_3020,Earth Surface Processes,38,BCH,128,1238,Fall 2023,3020,001L,3:00,180,UD,LAB,10637,16,60,22,20,Class Laboratory,,1,,,,,,,,,1,,,,,,,1,,,,,1,,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,
DRAM,DRAM_1201,Drafting for the Theatre,233,DRMU,128,1238,Fall 2023,1201,1,3:50,230,LD,LAB,4239,15,69,15,18,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,DRAMA MUSIC BUILDING
DRAM,DRAM_3502,Lighting for the Theatre,233,DRMU,128,1238,Fall 2023,3502,1,3:40,220,UD,LAB,13266,4,66,10,18,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,DRAMA MUSIC BUILDING
